15	10	E	-9710645.990288706	106
emissionprobs	8	3	H3k04me3	0	1.0
emissionprobs	8	3	H3k04me3	1	5.5442215248301844E-24
emissionprobs	8	4	H3k09ac	0	0.9932271284405064
emissionprobs	8	4	H3k09ac	1	0.006772871559493569
emissionprobs	8	5	H3k09me3	0	0.9933460253831691
emissionprobs	8	5	H3k09me3	1	0.0066539746168309336
emissionprobs	8	6	H3k27ac	0	0.9885153031149705
emissionprobs	8	6	H3k27ac	1	0.011484696885029472
emissionprobs	8	7	H3k27me3	0	0.9992817746823729
emissionprobs	8	7	H3k27me3	1	7.182253176270584E-4
emissionprobs	8	8	H3k36me3	0	0.9761019545719121
emissionprobs	8	8	H3k36me3	1	0.023898045428087968
emissionprobs	8	9	H3k79me2	0	0.9861985007216875
emissionprobs	8	9	H3k79me2	1	0.01380149927831259
emissionprobs	9	0	H2az	0	0.6191385185176818
emissionprobs	9	0	H2az	1	0.38086148148231824
emissionprobs	9	1	H3k04me1	0	0.05074952091472552
emissionprobs	9	1	H3k04me1	1	0.9492504790852744
emissionprobs	9	2	H3k04me2	0	0.4141836449463863
emissionprobs	9	2	H3k04me2	1	0.5858163550536137
emissionprobs	9	3	H3k04me3	0	0.8951573653570127
emissionprobs	9	3	H3k04me3	1	0.1048426346429873
emissionprobs	9	4	H3k09ac	0	0.6961781759367623
emissionprobs	9	4	H3k09ac	1	0.3038218240632376
emissionprobs	9	5	H3k09me3	0	0.979948110483978
emissionprobs	9	5	H3k09me3	1	0.02005188951602203
emissionprobs	9	6	H3k27ac	0	0.7610432658861351
emissionprobs	9	6	H3k27ac	1	0.23895673411386473
emissionprobs	9	7	H3k27me3	0	0.9994933812060646
emissionprobs	9	7	H3k27me3	1	5.066187939354453E-4
emissionprobs	9	8	H3k36me3	0	0.9682110994168187
emissionprobs	9	8	H3k36me3	1	0.03178890058318127
emissionprobs	9	9	H3k79me2	0	0.9823118780945836
emissionprobs	9	9	H3k79me2	1	0.017688121905416337
emissionprobs	10	0	H2az	0	0.21497698668877133
emissionprobs	10	0	H2az	1	0.7850230133112287
emissionprobs	10	1	H3k04me1	0	0.06361535815943818
emissionprobs	10	1	H3k04me1	1	0.9363846418405619
emissionprobs	10	2	H3k04me2	0	0.0012702890414776468
emissionprobs	10	2	H3k04me2	1	0.9987297109585224
emissionprobs	10	3	H3k04me3	0	0.19573477530982258
emissionprobs	10	3	H3k04me3	1	0.8042652246901774
emissionprobs	10	4	H3k09ac	0	0.041751121781929336
emissionprobs	10	4	H3k09ac	1	0.9582488782180707
emissionprobs	10	5	H3k09me3	0	0.995276741293868
emissionprobs	10	5	H3k09me3	1	0.004723258706131949
emissionprobs	10	6	H3k27ac	0	0.12390477661972231
emissionprobs	10	6	H3k27ac	1	0.8760952233802777
emissionprobs	10	7	H3k27me3	0	0.9968788722058821
emissionprobs	10	7	H3k27me3	1	0.00312112779411798
emissionprobs	10	8	H3k36me3	0	0.9910279578947826
emissionprobs	10	8	H3k36me3	1	0.008972042105217445
emissionprobs	10	9	H3k79me2	0	0.9587444802049564
emissionprobs	10	9	H3k79me2	1	0.041255519795043535
emissionprobs	11	0	H2az	0	0.12768953149914597
emissionprobs	11	0	H2az	1	0.8723104685008541
emissionprobs	11	1	H3k04me1	0	0.9620410489325917
emissionprobs	11	1	H3k04me1	1	0.037958951067408396
emissionprobs	11	2	H3k04me2	0	0.15283128588225384
emissionprobs	11	2	H3k04me2	1	0.8471687141177462
emissionprobs	11	3	H3k04me3	0	2.0404732908534735E-38
emissionprobs	11	3	H3k04me3	1	1.0
emissionprobs	11	4	H3k09ac	0	0.007277978932268103
emissionprobs	11	4	H3k09ac	1	0.9927220210677319
emissionprobs	11	5	H3k09me3	0	0.9950635916879608
emissionprobs	11	5	H3k09me3	1	0.004936408312039293
emissionprobs	11	6	H3k27ac	0	0.004015606918306657
emissionprobs	11	6	H3k27ac	1	0.9959843930816933
emissionprobs	11	7	H3k27me3	0	0.9862167236967012
emissionprobs	11	7	H3k27me3	1	0.013783276303298694
emissionprobs	11	8	H3k36me3	0	0.9964380795597311
emissionprobs	11	8	H3k36me3	1	0.003561920440268956
emissionprobs	11	9	H3k79me2	0	0.7094905571370681
emissionprobs	11	9	H3k79me2	1	0.29050944286293184
emissionprobs	12	0	H2az	0	0.902575589674726
emissionprobs	12	0	H2az	1	0.0974244103252741
emissionprobs	12	1	H3k04me1	0	0.9664304911670889
